aircraft_id,aircraft_registration,aircraft_iata
1,B-16723,B77W
2,B-18053,B77W
3,TC-LJJ,B77W
4,N964AV,A20N
5,JA794A,B77W
6,XA-MFN,B38M
7,JA05WJ,A35K
8,HL7621,A388
9,F-GSPF,B772
10,HP-1825CMP,B738
11,B-LQA,A359
12,A7-AMH,A359
13,N689TA,A320
14,RP-C3508,A359
15,N489MC,B744
16,9H-VDC,A333
17,N980AV,A320
18,HL7415,B744
19,HP-1727CMP,B738
20,N743AV,A320
21,N901AV,A20N
22,N2043J,A21N
23,9Y-JAM,B38M
24,N648JB,A320
25,N806JB,A320
26,N2039J,A21N
27,N316SE,B38M
28,N565JB,A320
29,N630NK,A320
30,N2038J,A21N
31,C-FUJE,E75S
32,N935NK,A20N
33,N4083J,A21N
34,N930AV,A20N
35,N393FR,A20N
36,N361NW,A320
37,N76532,B738
38,N736YX,E75L
39,N561UW,A321
40,N112AN,A321
41,N919DU,B739
42,N117AN,A321
43,N966AN,B738
44,N947JB,A321
45,N878DN,B739
46,N8731J,B38M
47,N886DN,B739
48,N925NK,A20N
49,N904NN,B738
50,N967JT,A321
51,N424YX,E75L
52,N477AV,A320
53,N598JB,A320
54,N8682B,B738
55,N944NN,B738
56,N613FR,A21N
57,N8696E,B738
58,N936NN,B738
59,N907JB,A321
60,N7727A,B737
61,N965NK,A20N
62,N587JB,A320
63,N793JB,A320
64,N334SM,B38M
65,N328TC,B38M
66,N3241J,BCS3
67,N956JT,A321
68,C-FEKS,E75S
69,N531JL,A320
70,N8819L,B38M
71,N232FR,A320
72,N3112J,BCS3
73,N950JT,A321
74,N794JB,A320
75,HK-5361,A20N
76,N111US,A320
77,N312DN,A321
78,N976JT,A321
79,N3761R,B738
80,N586AS,B738
81,N910NN,B738
82,N117DX,A321
83,N7889A,B737
84,N127DN,A321
85,N661JB,A320
86,N376DA,B738
87,N190DN,B763
88,N988NN,B738
89,N379DN,A321
90,N110AN,A321
91,N540DE,A21N
92,N584DN,A21N
93,N292PQ,CRJ9
94,N122DN,A321
95,N608JB,A320
96,N344NW,A320
97,N618JB,A320
98,9Y-GUY,B38M
99,N580DT,A21N
100,N6701,B752
101,N172DN,B763
102,N917DU,B739
103,N942NN,B738
104,N837MH,B764
105,N349NW,A320
106,N8535S,B738
107,N76529,B738
108,N964AN,B738
109,N338ST,B38M
110,N923JB,A321
111,N8910Q,B38M
112,N3195J,BCS3
113,N5007E,A319
114,N3104J,BCS3
115,XA-DAE,B38M
116,N630JB,A320
117,N112DN,A321
118,N8879Q,B38M
119,N336TM,B38M
120,N834JB,A320
121,N26208,B738
122,N3755D,B738
123,N971JT,A321
124,N585JB,A320
125,N576DN,A21N
126,N427UA,A320
127,N913JB,A321
128,N308TB,B38M
129,N989NN,B738
130,N3767,B738
131,N910AN,B738
132,N8031M,A319
133,N536JB,A320
134,N109NN,A321
135,N3115J,BCS3
136,N961AN,B738
137,N977JE,A321
138,G-VIIK,B772
139,N127DU,BCS1
140,N108DQ,BCS1
141,N9019F,A319
142,N428YX,E75L
143,N319DN,A321
144,N528DE,A21N
145,N920XJ,CRJ9
146,N651JB,A320
147,N603FR,A21N
148,N917XJ,CRJ9
149,N122HQ,E75S
150,N139DU,BCS1
151,N145DQ,BCS1
152,N704FR,A321
153,N993JE,A321
154,N921NN,B738
155,N378DA,B738
156,N836NN,B738
157,N563JB,A320
158,N3203J,BCS3
159,N381DZ,A321
160,N536DN,A21N
161,N371DN,A321
162,N519DT,A21N
163,N504DZ,A21N
164,N521DT,A21N
165,N921DU,B739
166,HP-1827CMP,B738
167,G-VJAZ,A339
168,N842NN,B738
169,N705JB,A320
170,N3142J,BCS3
171,N205JQ,E75S
172,N903JB,A321
173,N668NK,A321
174,N9029F,A319
175,N3062J,BCS3
176,N430YX,E75L
177,N405YX,E75S
178,N503DZ,A21N
179,N910XJ,CRJ9
180,N4076J,A21N
181,N125HQ,E75S
182,N659JB,A320
183,C-GKOD,A320
184,N120DU,BCS1
185,N480PX,CRJ9
186,N119DU,BCS1
187,N333DX,A321
188,N3132J,BCS3
189,N942AN,B738
190,N865NN,B738
191,N968NK,A20N
192,N884NN,B738
193,N310RF,B38M
194,N3145J,BCS3
195,N113AN,A321
196,N690NK,A320
197,N438YX,E75L
198,N657JB,A320
199,N401YX,E75L
200,N644JB,A320
201,N2044J,A21N
202,N345DN,A321
203,N180DN,B763
204,N880RW,E170
205,N127HQ,E75L
206,N8853Q,B38M
207,N966JT,A321
208,N696DL,B752
209,B-LXG,A35K
210,N879RW,E170
211,B-18773,B77L
212,N428UA,A320
213,N2029J,A21N
214,N253AK,B739
215,N429YX,E75L
216,N548AS,B738
217,N702GT,B77L
218,N482PX,CRJ9
219,N213JQ,E75S
220,N579DT,A21N
221,N6708D,B752
222,N337NB,A319
223,N3138J,BCS3
224,N823MD,E170
225,N875DN,B739
226,N209JQ,E75S
227,C-FEKJ,E75S
228,N2165J,A21N
229,N3118J,BCS3
230,N715JB,A320
231,N533DT,A21N
232,OO-ACE,B744
233,N964NK,A20N
234,N522DA,A21N
235,N925XJ,CRJ9
236,N919XJ,CRJ9
237,N491PX,CRJ9
238,N2047J,A21N
239,N3023J,BCS3
240,N886NN,B738
241,N8713M,B38M
242,N629NK,A320
243,N242JQ,E75S
244,N215JQ,E75S
245,N3194J,BCS3
246,N836AA,B789
247,N224JQ,E75S
248,N841DN,B739
249,N653FR,A21N
250,N846NN,B738
251,N935JB,A321
252,N3229J,BCS3
253,N860RW,E170
254,N171DN,B763
255,C-FJQZ,CRJ9
256,N640JB,A320
257,N16065,B763
258,C-FXJC,E75S
259,N111DC,A321
260,N392HA,A332
261,N324PQ,CRJ9
262,N655JB,A320
263,N3221J,BCS3
264,N413YX,E75L
265,N606JB,A320
266,N798AN,B772
267,N84307,E75L
268,N24729,B737
269,N934JB,A321
270,N367DN,A321
271,N8618N,B738
