airline_id,airline_name,airline_iata,airline_icao
1,Thai Airways International,TG,THA
2,Singapore Airlines,SQ,SIA
3,Copa Airlines,CM,CMP
4,SA AVIANCA,AV,AVA
5,EVA Air,BR,EVA
6,China Airlines,CI,CAL
7,Uzbekistan Airways,HY,UZB
8,JetBlue Airways,B6,JBU
9,IndiGo,6E,IGO
10,RwandAir,WB,RWD
11,Turkish Airlines,TK,THY
12,Pakistan International Airlines,PK,PIA
13,United Airlines,UA,UAL
14,ANA,NH,ANA
15,Aeromexico,AM,AMX
16,El Al,LY,ELY
17,Delta Air Lines,DL,DAL
18,LATAM Airlines,LA,LAN
19,American Airlines,AA,AAL
20,Japan Airlines,JL,JAL
21,Malaysia Airlines,MH,MAS
22,Korean Air,KE,KAL
23,KLM,KL,KLM
24,Virgin Atlantic,VS,VIR
25,Air France,AF,AFR
26,Asiana Airlines,OZ,AAR
27,Volaris,Y4,VOI
28,Miat - Mongolian Airlines,OM,MGL
29,Cathay Pacific,CX,CPA
30,Qatar Airways,QR,QTR
31,SriLankan Airlines,UL,ALK
32,Oman Air,WY,OMA
33,AlphaSky,AS,JAG
34,Philippine Airlines,PR,PAL
35,Atlas Air,5Y,GTI
36,Galistair Infinite Aviation,8S,GTR
37,Azul,AD,AZU
38,Icelandair,FI,ICE
39,Caribbean Airlines,BW,BWA
40,Gol,G3,GLO
41,British Airways,BA,BAW
42,Spirit Airlines,NK,NKS
43,Air Canada,AC,ACA
44,TAP Air Portugal,TP,TAP
45,Hawaiian Airlines,HA,HAL
46,Frontier Airlines,F9,FFT
47,Air New Zealand,NZ,ANZ
48,Royal Air Maroc,AT,RAM
49,Qantas,QF,QFA
50,Air Tahiti Nui,TN,THT
51,WestJet,WS,WJA
52,Japan Airlines,JL,JTL
53,Southwest Airlines,WN,SWA
54,Finnair,AY,FIN
55,Alaska Airlines,AS,ASA
56,China Eastern Airlines,MU,CES
57,Aerolineas Argentinas,AR,ARG
58,Virgin Australia,VA,VOZ
59,Aer Lingus,EI,EIN
60,Iberia,IB,IBE
61,SAS,SK,SAS
62,Gulf Air,GF,GFA
63,Kenya Airways,KQ,KQA
64,DHL Air,D0,DHK
65,Challenge Airlines BE,X7,CHG
66,LOT - Polish Airlines,LO,LOT
67,Etihad Airways,EY,ETD
68,Royal Jordanian,RJ,RJA
69,Saudia,SV,SVA
70,Alitalia,AZ,AZA
71,Air India,AI,AIC
72,Breeze Airways,MX,MXY
73,Sun Country Airlines,SY,SCX
74,Cape Air,9K,KAP
75,Emirates,EK,UAE
76,NetJets Aviation,1I,EJA
77,EgyptAir,MS,MSR
78,ASL Airlines Ireland,AG,ABR
79,VivaAerobus,VB,VIV
80,Air Serbia,JU,ASL
81,Air Europa,UX,AEA
82,China Southern Airlines,CZ,CSN
83,HiSky,H7,HYM
84,Brussels Airlines,SN,BEL
85,Lufthansa,LH,DLH
86,Fiji Airways,FJ,FJI
87,SWISS,LX,SWR
88,ITA Airways,AZ,ITY
89,TAROM,RO,ROT
90,Air China Cargo,CAO,CAO
91,Kuwait Airways,KU,KAC
92,Kalitta Air,K4,CKS
93,China Cargo,CK,CKK
94,Norse,N0,NBT
95,Vietnam Airlines,VN,HVN
96,Ethiopian Airlines,ET,ETH
97,ASKY,KP,SKK
98,Air Cote D'Ivoire,HF,VRE
99,Azores Airlines,S4,RZO
100,EuroAtlantic Airways,YU,MMZ
101,AeroLogic,3S,BOX
102,Air China LTD,CA,CCA
103,Condor,DE,CFG
104,FedEx,FX,FDX
105,UPS Airlines,5X,UPS
106,Cayman Airways,KX,CAY
107,Flexjet,LXJ,LXJ
108,XOJET,XOJ,XOJ
109,Neos,NO,NOS
110,Austrian,OS,AUA
111,Binter Canarias,NT,IBB
112,Cargolux,CV,CLX
113,ATI,8C,ATN
114,Silk Way West,7L,AZG
115,Xiamen Airlines,MF,CXA
116,Tradewind Aviation,TJ,GPD
117,Air Baltic,BT,BTI
118,Level,LL,LVL
119,Vueling,VY,VLG
120,SF Airlines,O3,CSS
121,Hex'Air,UD,HER
122,NCA - Nippon Cargo Airlines,KZ,NCA
123,Executive Jet Management,EJM,EJM
124,ABX Air,GB,ABX
125,Air Atlanta Icelandic,CC,ABD
126,MNG Airlines,MB,MNB
127,One Air,HC,HGO
128,Allegiant Air,G4,AAY
129,Avianca Cargo,QT,TPA
130,Wamos Air,EB,PLM
131,Castle Aviation,CSJ,CSJ
132,Hainan Airlines,HU,CHH
133,Evelop Airlines,E9,EVE
134,Alaska Airlines (Seattle Mariners Livery),AS,ASA
135,Alaska Airlines (Oneworld Livery),AS,ASA
136,Alaska Airlines (Honoring Those Who Serve Livery),AS,ASA
137,Alaska airlines,AS,ASA
138,Alaska Airlines (Disney Toon Town Livery),AS,ASA
139,Alaska Airlines (West Coast Wonders Livery),AS,ASA
140,Freight Runners Express,FRG,FRG
141,Alaska Airlines (San Francisco Giants Livery),AS,ASA
142,Alaska Airlines (Star Wars Livery),AS,ASA
143,Alaska Airlines (UNCF Livery),AS,ASA
144,Slate Aviation,S9,SGX
145,Alaska Airlines (Disneyland - Pixar Pier Livery),AS,ASA
146,Alaska Airlines (Seattle Kraken Livery),AS,ASA
147,GlobalX,G6,GXA
148,Qatar Executive,QE,QQE
149,Braathens Regional Airlines,TF,SCW
150,Eastern Airlines,2D,EAL
151,Kalitta Charters,K9,KFS
152,Cargojet,W8,CJT
153,Atlantic Airways,RC,FLI
154,Alaska Airlines (Boeing 100 years strong Livery),AS,ASA
155,Alaska Airlines (Xáat Kwáani Livery),AS,ASA
156,Flair Airlines,F8,FLE
157,Royal Air Charter,RAX,RAX
158,Porter,PD,POE
159,CMA CGM Air Cargo,2C,CMA
160,Journey Aviation,UJT,JNY
161,Everts Air Cargo,5V,VTS
162,Air Transat,TS,TSC
163,Quest Diagnostics,LBQ,LBQ
164,Alaska Airlines (Honoring those who serve Livery),AS,ASA
165,GullivAir,G2,GBG
166,Ravn Alaska,7H,RVF
167,Hi Fly Malta,5M,HFM
168,Avelo Airlines,XP,VXP
169,Contour Aviation,LF,VTE
170,Awesome Cargo,A7,WIN
171,Lufthansa Cargo,GEC,GEC
172,Flight Options,OPT,OPT
173,Privilege Style,P6,PVG
174,Silk Way Airlines,ZP,AZQ
175,American Airlines,YX,RPA
176,Air Incheon,KJ,AIH
177,Air Canada,QK,JZA
178,Alaska Airlines (Tiana’s Bayou Adventure Livery),AS,ASA
179,Porter,P3,PTR
180,Arkia Israeli Airlines,IZ,AIZ
181,Royal Australian Air Force,ASY,ASY
182,LATAM Cargo Chile,UC,LCO
183,Iraqi Airways,IA,IAW
184,Porter Airlines,PD,POE
185,Amazon Air,AS,ASA
186,BermudAir,2T,BMA
187,World2Fly,2W,WFL
188,American Airlines,UA,UAL
189,Hi Fly,5K,HFY
190,Masair,M7,MAA
191,Kalitta Air,D0,DHK
192,Alaska Airlines (Boeing 100 Years Strong Livery),AS,ASA
193,Norse UK,Z0,UBT
194,Air Century,Y2,CEY
195,Western Aircraft,ST,STT
196,SalamAir,OV,OMS
197,21 Air,2I,CSB
198,Gryphon Airlines,Y3,VOS
199,Chrono Aviation,MB,NDL
200,ASL Airlines Belgium,3V,TAY
201,HiSky Europe,H4,HYS
202,Polar Air Cargo,PO,PAC
203,Isles Of Scilly Skybus,5Y,IOS
204,Republic Airways,YX,RPA
205,TACA,TA,TAI
206,Omni Air International,OY,OAE
207,National Airlines,N8,NCR
208,Chrono Jet,MB,MBK
209,Kaiser Air,KI,KAI
210,Air Alsie,6I,MMD
211,SkyWest Airlines,OO,SKW
212,Jazz,QK,JZA
213,VistaJet,H5,VJH
214,C.A.L. Cargo Airlines,5C,ICL
215,Starlink Aviation,Q4,TLK
216,Mesa Airlines,YV,ASH
217,Privaira,PVO,PVO
218,NetJets Europe,NJE,NJE
219,Qatar Airways Amiri Flight,Q4,QAF
220,Porter Airlines Canada,PD,POE
221,Priester Aviation,PWA,PWA
222,Tropic Ocean Airways,TI,FTO
223,euroairlines,Q4,ELE
224,Nolinor,N5,NRL
225,Ameriflight,A8,AMF
226,AirTanker Services,9L,TOW
227,Ultimate Air Shuttle,UE,UJC
228,Delta Air Lines,9E,EDV
229,NetJets Aviation,EJA,EJA
230,Lufthansa,GEC,GEC
231,United Airlines,YV,ASH
232,United Airlines,YX,RPA
233,SA AVIANCA,EX,AVR
234,Delta Air Lines,YX,RPA
235,Iberia,6O,OBS
236,PSA Airlines,OH,JIA
237,Republic Airways,AA,AAL
238,Air China LTD,CAO,CAO
239,Iberia,E9,EVE
240,Norse UK,N0,NBT
241,SkyWest Airlines,DL,DAL
242,AZAL Azerbaijan Airlines,J2,AHY
243,Middle East Airlines,ME,MEA
244,Republic Airways,DL,DAL
245,Avianca Costa Rica,LR,LRC
246,Avianca Costa Rica,AV,AVA
247,Iberia,2W,WFL
248,Atlas Air,D0,DHK
249,Aero,5E,BLK
250,AeroLogic,D0,DHK
251,Turkish Airlines,5Y,GTI
252,ABX Air,D0,DHK
253,Executive Jet Management,,
254,Iberia,LL,LVL
255,C.A.L. Cargo Airlines,X7,CHG
256,VistaJet Germany,VJT,VJT
