airport_id,airport_name,iata_code,icao_code
1,John F Kennedy International,JFK,KJFK
2,LaGuardia,LGA,KLGA
3,Long Island Mac Arthur,ISP,KISP
4,John F Kennedy International,JFK,JFK
5,LaGuardia,LGA,LGA
6,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,RCTP
7,Istanbul Airport,IST,LTFM
8,Mariscal Sucre,UIO,SEQM
9,Haneda Airport,HND,RJTT
10,Internacional Benito Juarez,MEX,MMMX
11,Jose Joaquin De Olmedo,GYE,SEGU
12,Seoul (Incheon),ICN,RKSI
13,Charles De Gaulle,CDG,LFPG
14,Tocumen International,PTY,MPTO
15,El Salvador International,SAL,MSLP
16,Hong Kong International,HKG,VHHH
17,Doha International,DOH,OTHH
18,Ninoy Aquino International,MNL,RPLL
19,Ted Stevens Anchorage International Airport,ANC,PANC
20,Zaragoza,ZAZ,LEZG
21,Matecana,PEI,SKPE
22,Brussels Airport,BRU,EBBR
23,Jose Maria Cordova,MDE,SKRG
24,La Aurora,GUA,MGGT
25,Fort Lauderdale–Hollywood International,FLL,KFLL
26,Cheddi Jagan International,GEO,SYCJ
27,Orlando International,MCO,KMCO
28,Norman Manley,KIN,MKJP
29,Cibao International Airport,STI,MDST
30,Miami International Airport,MIA,KMIA
31,Aeropuerto de las Américas,SDQ,MDSD
32,T. F. Green Airport,PVD,KPVD
33,Lester B. Pearson International,YYZ,CYYZ
34,Charlotte Douglas,CLT,KCLT
35,Los Angeles International,LAX,KLAX
36,Hartsfield-jackson Atlanta International,ATL,KATL
37,Chicago O'hare International,ORD,KORD
38,Washington Dulles International,IAD,KIAD
39,Minneapolis - St. Paul International,MSP,KMSP
40,San Francisco International,SFO,KSFO
41,Dallas/Fort Worth International,DFW,KDFW
42,Sky Harbor International,PHX,KPHX
43,Detroit Metropolitan Wayne County,DTW,KDTW
44,Nashville International,BNA,KBNA
45,Palm Beach International Airport,PBI,KPBI
46,Reina Beatrix,AUA,TNCA
47,Philadelphia International,PHL,KPHL
48,Love Field,DAL,KDAL
49,Luis Munoz Marin International,SJU,TJSJ
50,Baltimore/Washington International Thurgood Marshall,BWI,KBWI
51,Southwest Florida International,RSW,KRSW
52,Cancún International,CUN,MMUN
53,Pierre Elliott Trudeau International,YUL,CYUL
54,Midway,MDW,KMDW
55,Sangster International,MBJ,MKJS
56,El Nuevo Dorado International,BOG,SKBO
57,Seattle-Tacoma International,SEA,KSEA
58,Grantley Adams International,BGI,TBPB
59,Tampa International,TPA,KTPA
60,Denver International,DEN,KDEN
61,Salt Lake City International,SLC,KSLC
62,Austin-bergstrom International,AUS,KAUS
63,Providenciales International Airport,PLS,MBPV
64,E. T. Joshua,SVD,TVSA
65,Harry Reid International Airport,LAS,KLAS
66,Princess Juliana International,SXM,TNCM
67,Punta Cana International,PUJ,MDPC
68,Lambert-St. Louis International,STL,KSTL
69,San Diego International Airport,SAN,KSAN
70,William P Hobby,HOU,KHOU
71,Nassau International,NAS,MYNN
72,V. C. Bird International,ANU,TAPA
73,George Bush Intercontinental,IAH,KIAH
74,Eagle County,EGE,KEGE
75,"Jacksonville,",JAX,KJAX
76,Heathrow,LHR,EGLL
77,Logan International,BOS,KBOS
78,L. F. Wade International,BDA,TXKF
79,Greenville Spartanburg International Airport,GSP,KGSP
80,Richmond International Airport,RIC,KRIC
81,Ronald Reagan Washington National Airport,DCA,KDCA
82,Owen Roberts International,GCM,MWCR
83,Raleigh-durham International Airport,RDU,KRDU
84,Cyril E King Airport,STT,TIST
85,Louis Armstrong New Orléans International Airport,MSY,KMSY
86,Pittsburgh International,PIT,KPIT
87,Cincinnati/Northern Kentucky,CVG,KCVG
88,"Charleston, AFB Municipal",CHS,KCHS
89,Halle,LEJ,EDDP
90,Savannah/Hilton Head,SAV,KSAV
91,Myrtle Beach AFB,MYR,KMYR
92,Hopkins International,CLE,KCLE
93,Point Salines International,GND,TGPY
94,Wilmington International,ILM,KILM
95,Asheville Regional Airport,AVL,KAVL
96,Gerald R. Ford International,GRR,KGRR
97,Liege Airport,LGG,EBLG
98,International Jetport,PWM,KPWM
99,Piedmont Triad International,GSO,KGSO
100,Sarasota/Bradenton International,SRQ,KSRQ
101,Syracuse Hancock International Airport,SYR,KSYR
102,Key West International Airport,EYW,KEYW
103,Philip S. W. Goldson International,BZE,MZBZ
104,Honolulu International,HNL,PHNL
105,Rafael Nunez,CTG,SKCG
106,Greater Rochester International,ROC,KROC
107,Hato International Airport,CUR,TNCC
108,Dane County Regional,MSN,KMSN
109,La Union,POP,MDPP
110,San Antonio International,SAT,KSAT
111,Piarco International,POS,TTPP
112,Los Cabos,SJD,MMSD
113,Daniel Oduber International,LIR,MRLB
114,Hewanorra,UVF,TLPL
115,Norfolk International Airport,ORF,KORF
116,King Abdulaziz International,JED,OEJN
117,Indira Gandhi International,DEL,VIDP
118,Memphis International,MEM,KMEM
119,Vero Beach Municipal,VRB,KVRB
120,Chhatrapati Shivaji International (Sahar International),BOM,VABB
121,Metropolitan Airport,CAE,KCAE
122,Palm Springs Metropolitan Area,PSP,KPSP
123,Birmingham-Shuttlesworth International Airport,BHM,KBHM
124,Halifax International,YHZ,CYHZ
125,Barnstable,HYA,KHYA
126,Kansas City International Airport,MCI,KMCI
127,General Mitchell International,MKE,KMKE
128,Pensacola International Airport,PNS,KPNS
129,Port Columbus International,CMH,KCMH
130,Indianapolis International,IND,KIND
131,Bangor International Airport,BGR,KBGR
132,Burlington International,BTV,KBTV
133,Dubai,DXB,OMDB
134,Mc Ghee Tyson,TYS,KTYS
