season,day_of_week,total_departures
Fall,Friday,21376
Fall,Monday,20766
Fall,Saturday,18912
Fall,Sunday,23260
Fall,Thursday,19478
Fall,Tuesday,20962
Fall,Wednesday,19786
Spring,Friday,43371
Spring,Monday,45643
Spring,Saturday,43301
Spring,Sunday,45758
Spring,Thursday,47146
Spring,Tuesday,42084
Spring,Wednesday,43759
Summer,Friday,33640
Summer,Monday,38155
Summer,Saturday,29448
Summer,Sunday,38318
Summer,Thursday,36986
Summer,Tuesday,36544
Summer,Wednesday,33628
Winter,Friday,40524
Winter,Monday,39033
Winter,Saturday,39086
Winter,Sunday,37089
Winter,Thursday,40703
Winter,Tuesday,43807
Winter,Wednesday,45165
