airline_name,total_departures,average_departure_delay,cancelled_flights,cancellation_rate
21 Air,1,13.0,0,0.0
ABX Air,389,18.041131105398456,0,0.0
ANA,3255,25.06205837173579,34,1.044546850998464
ASKY,174,52.201149425287355,0,0.0
ASL Airlines Belgium,67,0.29850746268656714,0,0.0
ASL Airlines Ireland,47,111.02127659574468,0,0.0
ATI,365,24.10958904109589,0,0.0
AZAL Azerbaijan Airlines,1,0.0,0,0.0
Aer Lingus,10212,41.983842538190366,221,2.164120642381512
Aero,1,10.0,0,0.0
AeroLogic,90,20.733333333333334,0,0.0
Aerolineas Argentinas,1306,39.97320061255743,15,1.1485451761102603
Aeromexico,19343,38.02822726567751,343,1.7732513053817918
Air Alsie,8,23.75,0,0.0
Air Atlanta Icelandic,4,20.0,0,0.0
Air Baltic,63,32.507936507936506,2,3.1746031746031744
Air Canada,5600,33.761428571428574,250,4.464285714285714
Air Century,1,98.0,0,0.0
Air China Cargo,194,130.9020618556701,0,0.0
Air China LTD,1002,20.107784431137723,0,0.0
Air Cote D'Ivoire,125,53.432,0,0.0
Air Europa,7685,49.886792452830186,81,1.0540013012361744
Air France,35497,44.39879426430402,794,2.236808744400935
Air Incheon,42,37.166666666666664,0,0.0
Air India,855,58.954385964912284,7,0.8187134502923977
Air New Zealand,6664,33.779411764705884,98,1.4705882352941175
Air Serbia,2568,52.80685358255452,72,2.803738317757009
Air Tahiti Nui,3046,38.90512147078135,22,0.7222586999343401
Air Transat,519,27.759152215799613,22,4.238921001926782
AirTanker Services,4,10.0,0,0.0
Alaska Airlines,3116,42.31803594351733,29,0.9306803594351734
Alaska Airlines (Boeing 100 Years Strong Livery),2,15.0,0,0.0
Alaska Airlines (Boeing 100 years strong Livery),17,28.705882352941178,0,0.0
Alaska Airlines (Disney Toon Town Livery),4,25.5,0,0.0
Alaska Airlines (Disneyland - Pixar Pier Livery),3,29.0,0,0.0
Alaska Airlines (Honoring Those Who Serve Livery),19,31.36842105263158,0,0.0
Alaska Airlines (Honoring those who serve Livery),5,26.0,0,0.0
Alaska Airlines (Oneworld Livery),56,46.75,0,0.0
Alaska Airlines (San Francisco Giants Livery),6,43.833333333333336,0,0.0
